Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2018,2,01/04/2018 to 30/06/2018,2017 person level weights,Age,50 to 54,71.2,83.2,12,1049700,1474300,3228000,3878100
2018,2,01/04/2018 to 30/06/2018,2017 person level weights,Age,55 to 59,63.3,74.6,11.3,1015200,1604200,2639800,3537500
2018,2,01/04/2018 to 30/06/2018,2017 person level weights,Age,60 to 64,47,55.4,8.3,742900,1579900,1668400,3014100
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,16 to 19,31,35.3,4.3,148700,480000,856700,2427700
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,20 to 24,57.2,66.9,9.7,426500,745900,2330500,3485300
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,25 to 29,70,83.1,13.1,574600,821200,3202800,3854200
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,30 to 34,72,84.4,12.5,569300,791200,3179100,3765300
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,35 to 39,73.2,85.5,12.4,637700,871500,3133700,3663900
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,40 to 44,71.9,85.9,14,665500,925400,2894800,3369900
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,45 to 49,74.1,85.9,11.7,946200,1276300,3243400,3777500
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,50 to 54,71.5,83.2,11.7,1057400,1479000,3224600,3876800
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,55 to 59,63.4,75,11.6,982500,1550300,2634800,3514400
2018,1,01/01/2018 to 31/03/2018,2017 person level weights,Age,60 to 64,46.6,54.7,8.1,734700,1577200,1639300,2998800
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,16 to 19,32.9,36.5,3.6,159400,484500,889900,2439200
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,20 to 24,55.7,68,12.3,421800,756600,2374600,3491800
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,25 to 29,72.4,84.1,11.7,574000,792900,3239300,3851300
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,30 to 34,73.2,83.9,10.8,589900,806100,3152100,3755600
